Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_%,_%,% od ukupnog broja,_%,_%,1388,18
%,%,%,%,%,106,5
Age,Age,Starost,Старост,Starost,36,4
BD,Brčko District of BiH,Brčko Distrikt BiH,Брчко Дистрикт БиХ,Brčko Distrikt BiH,18,1
BiH,BiH,BiH,BiH,BiH,23,1
boys_to_girls,Boys to 100 girls,boys_to_girls,boys_to_girls,boys_to_girls,4,1
children_pre_woman,Number of children per woman,children_pre_woman,children_pre_woman,children_pre_woman,10,2
FBIH,Federation of BiH,Federacija BiH,Федерација БиХ,Federacija BiH,24,1
number_birth_rate,"Number per 1,000 population",number_birth_rate,number_birth_rate,number_birth_rate,4,1
NUMBER,Number,Broj,Број,Broj,10634,30
RS,Republika Srpska,Republika Srpska,Република Српска,Republika Srpska,23,1
UNIT_MEASURE,Unit measure,Mjerna jedinica,Мјерна јединица,Mjerna jedinica,1,1
