Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
1997,1997,1997,1997,1997,8,1
1998,1998,1998,1998,1998,8,1
1999,1999,1999,1999,1999,8,1
2000,2000,2000,2000,2000,8,1
2001,2001,2001,2001,2001,8,1
2002,2002,2002,2002,2002,8,1
2003,2003,2003,2003,2003,8,1
2004,2004,2004,2004,2004,8,1
2005,2005,2005,2005,2005,8,1
2006,2006,2006,2006,2006,8,1
2007,2007,2007,2007,2007,8,1
2008,2008,2008,2008,2008,8,1
2009,2009,2009,2009,2009,8,1
2010,2010,2010,2010,2010,8,1
2011,2011,2011,2011,2011,8,1
2012,2012,2012,2012,2012,8,1
2013,2013,2013,2013,2013,8,1
2014,2014,2014,2014,2014,8,1
2015,2015,2015,2015,2015,8,1
2016,2016,2016,2016,2016,8,1
2017,2017,2017,2017,2017,8,1
2018,2018,2018,2018,2018,8,1
2019,2019,2019,2019,2019,8,1
Year,Year,Godina,Година,Godina,1,1
